State,Total state population,Male,Female,Under 18,White (non-Hispanic),Black (non-Hispanic),Hispanic,American Indian/ Alaska Native (non-Hispanic),Asian (non-Hispanic),Native Hawaiian/ Pacific Islander (non-Hispanic),2 or more races (non-Hispanic),Some other race (non-Hispanic)
Alabama,"4,997,675","2,429,703","2,567,972","1,122,381","3,241,003","1,316,314","224,659","17,417","69,331","1,594","114,853","12,504"
Alaska,"735,951","384,749","351,202","182,734","434,515","22,787","53,604","104,399","46,455","10,500","60,102","3,589"
Arizona,"7,079,203","3,533,895","3,545,308","1,614,435","3,781,665","299,877","2,257,429","256,947","228,292","12,623","223,929","18,441"
Arkansas,"3,006,309","1,483,520","1,522,789","705,785","2,123,715","455,748","236,001","13,665","45,575","10,408","114,930","6,267"
California,"39,455,353","19,714,044","19,741,309","8,992,432","14,109,297","2,128,184","15,593,787","124,341","5,802,086","134,692","1,413,870","149,096"
Colorado,"5,723,176","2,895,936","2,827,240","1,262,735","3,821,828","222,572","1,254,636","26,070","180,192","7,357","192,511","18,010"
Connecticut,"3,605,330","1,768,860","1,836,470","744,491","2,340,848","359,156","610,065","4,225","165,872",761,"105,584","18,819"
Delaware,"981,892","477,219","504,673","207,645","597,040","211,387","95,278","2,084","39,398",299,"32,744","3,662"
District of Columbia,"683,154","325,490","357,664","125,022","250,396","299,716","76,982","1,003","27,522",297,"23,632","3,606"
Florida,"21,339,762","10,489,548","10,850,214","4,261,313","11,217,187","3,223,893","5,593,090","31,002","585,096","10,749","576,017","102,728"
Georgia,"10,625,615","5,191,616","5,433,999","2,532,197","5,462,673","3,309,398","1,048,474","13,866","444,677","5,254","296,315","44,958"
Hawaii,"1,453,498","732,172","721,326","311,020","310,216","26,521","158,741","2,326","534,056","142,973","275,435","3,230"
Idaho,"1,811,617","912,529","899,088","458,830","1,459,942","11,392","234,561","17,174","23,902","2,519","55,620","6,507"
Illinois,"12,821,813","6,332,176","6,489,637","2,887,351","7,721,282","1,773,138","2,250,076","10,358","718,559","3,048","310,790","34,562"
Indiana,"6,751,340","3,344,360","3,406,980","1,592,087","5,255,601","625,756","494,408","6,863","162,123","1,982","185,158","19,449"
Iowa,"3,179,090","1,590,001","1,589,089","742,175","2,681,793","116,206","203,048","7,337","78,532","3,920","83,185","5,069"
Kansas,"2,932,099","1,468,152","1,463,947","714,151","2,192,497","159,382","362,053","15,363","86,670","1,784","107,409","6,941"
Kentucky,"4,494,141","2,223,783","2,270,358","1,021,909","3,759,079","356,610","174,359","4,877","68,112","3,340","117,508","10,256"
Louisiana,"4,657,305","2,283,561","2,373,744","1,101,083","2,693,832","1,475,549","248,782","21,492","79,562","2,017","119,106","16,965"
Maine,"1,357,046","668,308","688,738","254,585","1,248,581","18,834","24,526","6,953","14,789",188,"39,879","3,296"
Maryland,"6,148,545","2,995,146","3,153,399","1,373,149","3,035,807","1,806,220","650,357","9,657","394,720","2,102","221,931","27,751"
Massachusetts,"6,991,852","3,413,174","3,578,678","1,389,724","4,871,674","467,943","864,202","7,977","477,667","1,910","234,639","65,840"
Michigan,"10,062,512","4,983,325","5,079,187","2,188,856","7,448,438","1,351,051","540,036","39,462","319,960","2,546","333,683","27,336"
Minnesota,"5,670,472","2,839,135","2,831,337","1,323,569","4,441,935","371,249","319,828","46,371","281,572","2,047","190,428","17,042"
Mississippi,"2,967,023","1,444,255","1,522,768","706,054","1,661,874","1,109,577","95,643","11,587","28,758",993,"51,848","6,743"
Missouri,"6,141,534","3,027,741","3,113,793","1,392,375","4,800,763","689,839","271,566","15,275","122,395","7,851","217,070","16,775"
Montana,"1,077,978","545,671","532,307","232,815","916,991","5,339","43,877","62,967","8,802",565,"36,931","2,506"
Nebraska,"1,951,480","978,863","972,617","485,910","1,515,645","91,326","224,693","13,017","47,885",980,"54,035","3,899"
Nevada,"3,059,238","1,541,789","1,517,449","694,030","1,442,883","273,070","897,415","23,229","249,400","19,821","139,807","13,613"
New Hampshire,"1,372,175","683,846","688,329","260,615","1,220,505","18,705","55,915","1,452","36,507",402,"35,768","2,921"
New Jersey,"9,234,024","4,539,311","4,694,713","2,040,442","4,966,842","1,158,820","1,924,503","8,873","894,646","2,196","225,620","52,524"
New Mexico,"2,109,366","1,048,448","1,060,918","485,326","759,917","37,848","1,046,411","180,121","31,382","1,145","45,879","6,663"
New York,"20,114,745","9,821,711","10,293,034","4,217,396","10,993,176","2,797,225","3,871,753","40,379","1,723,110","5,024","543,743","140,335"
North Carolina,"10,367,022","5,067,666","5,299,356","2,302,315","6,433,921","2,160,554","1,016,730","98,911","312,111","6,060","305,309","33,426"
North Dakota,"773,344","397,093","376,251","184,458","642,956","23,887","31,926","37,016","12,231","1,180","22,557","1,591"
Ohio,"11,769,923","5,800,004","5,969,919","2,629,989","9,152,826","1,432,646","480,347","11,239","274,662","3,407","382,625","32,171"
Oklahoma,"3,948,136","1,964,927","1,983,209","961,070","2,533,380","278,454","443,914","285,097","87,388","6,155","304,600","9,148"
Oregon,"4,207,177","2,096,429","2,110,748","873,486","3,116,280","74,010","570,511","32,890","184,235","16,380","199,187","13,684"
Pennsylvania,"12,970,650","6,394,217","6,576,433","2,704,482","9,734,303","1,360,025","1,023,055","9,708","457,712","2,763","343,801","39,283"
Rhode Island,"1,091,949","534,283","557,666","212,663","770,700","59,203","178,673","2,968","37,153",539,"34,680","8,033"
South Carolina,"5,078,903","2,474,059","2,604,844","1,109,803","3,206,780","1,319,130","306,230","11,355","82,488","4,324","133,344","15,252"
South Dakota,"881,785","446,461","435,324","218,698","712,735","18,736","37,618","70,363","12,579",700,"27,661","1,393"
Tennessee,"6,859,497","3,362,099","3,497,398","1,534,243","5,002,855","1,120,548","395,967","10,292","124,495","3,518","182,564","19,258"
Texas,"28,862,581","14,398,171","14,464,410","7,446,176","11,745,032","3,401,742","11,479,932","55,658","1,433,683","21,282","652,631","72,621"
Utah,"3,231,370","1,633,843","1,597,527","946,063","2,497,463","35,281","465,832","26,012","74,090","28,407","95,444","8,841"
Vermont,"641,637","318,533","323,104","118,889","589,575","7,643","13,368","1,152","10,630",147,"17,914","1,208"
Virginia,"8,582,479","4,245,281","4,337,198","1,892,752","5,200,759","1,601,041","840,248","13,983","573,860","4,423","315,476","32,689"
Washington,"7,617,364","3,831,964","3,785,400","1,680,460","5,063,850","283,174","1,007,881","69,496","675,966","49,088","438,682","29,227"
West Virginia,"1,801,049","896,723","904,326","366,495","1,643,042","60,339","30,196","1,786","13,763",660,"46,837","4,426"
Wisconsin,"5,871,661","2,937,621","2,934,040","1,292,944","4,705,965","364,446","424,598","39,457","165,139","2,395","157,130","12,531"
Wyoming,"576,641","295,204","281,437","134,467","478,508","4,811","59,185","11,330","4,907",397,"15,921","1,582"